Store no., STARHUB ETOP UP $8 , STARHUB ETOP UP $17 , STARHUB ETOP UP $18 , STARHUB ETOP UP $25 , STARHUB ETOP UP $28 , STARHUB ETOP UP $50 , Total $ ,Total Qty
217," $1,208.00 ", $-   ," $1,116.00 ", $-   , $476.00 , $200.00 ," $3,000.00 ",234
219, $856.00 , $34.00 , $360.00 , $-   , $112.00 , $-   ," $1,362.00 ",133
220, $232.00 , $-   , $180.00 , $-   , $84.00 , $100.00 , $596.00 ,44
221, $800.00 , $-   , $918.00 , $-   , $392.00 , $-   ," $2,110.00 ",165
224, $856.00 , $68.00 , $576.00 , $-   , $308.00 , $150.00 ," $1,958.00 ",157
226, $312.00 , $17.00 , $504.00 , $-   , $196.00 , $-   ," $1,029.00 ",75
227, $616.00 , $51.00 , $450.00 , $-   , $252.00 , $-   ," $1,369.00 ",114
230, $568.00 , $17.00 , $396.00 , $75.00 , $196.00 , $50.00 ," $1,302.00 ",105
231, $304.00 , $-   , $270.00 , $-   , $56.00 , $50.00 , $680.00 ,56
233, $224.00 , $-   , $288.00 , $-   , $56.00 , $-   , $568.00 ,46
234," $1,360.00 ", $-   ," $2,034.00 ", $25.00 , $448.00 , $200.00 ," $4,067.00 ",304
235, $632.00 , $34.00 , $486.00 , $-   , $336.00 , $-   ," $1,488.00 ",120
238," $1,016.00 ", $170.00 , $684.00 , $-   , $224.00 , $50.00 ," $2,144.00 ",184
241, $184.00 , $-   , $324.00 , $-   , $56.00 , $50.00 , $614.00 ,44
242, $448.00 , $17.00 , $450.00 , $-   , $308.00 , $-   ," $1,223.00 ",93
243, $448.00 , $-   , $378.00 , $50.00 , $56.00 , $50.00 , $982.00 ,82
244, $408.00 , $-   , $540.00 , $-   , $112.00 , $100.00 ," $1,160.00 ",87
245, $464.00 , $-   , $270.00 , $-   , $224.00 , $-   , $958.00 ,81
247, $368.00 , $-   , $702.00 , $25.00 , $448.00 , $100.00 ," $1,643.00 ",104
248, $304.00 , $17.00 , $288.00 , $-   , $-   , $-   , $609.00 ,55
249, $936.00 , $17.00 , $702.00 , $-   , $616.00 , $200.00 ," $2,471.00 ",183
253, $248.00 , $-   , $234.00 , $-   , $28.00 , $150.00 , $660.00 ,48
254, $64.00 , $-   , $36.00 , $-   , $28.00 , $-   , $128.00 ,11
255, $280.00 , $-   , $108.00 , $-   , $280.00 , $-   , $668.00 ,51
256, $96.00 , $-   , $36.00 , $-   , $56.00 , $-   , $188.00 ,16
257, $992.00 , $34.00 ," $1,494.00 ", $-   , $392.00 , $100.00 ," $3,012.00 ",225
258, $464.00 , $-   , $342.00 , $-   , $280.00 , $-   ," $1,086.00 ",87
260," $1,000.00 ", $34.00 ," $1,116.00 ", $25.00 , $168.00 , $-   ," $2,343.00 ",196
261, $448.00 , $17.00 , $414.00 , $-   , $280.00 , $50.00 ," $1,209.00 ",91
262, $520.00 , $-   , $288.00 , $-   , $168.00 , $100.00 ," $1,076.00 ",89
